데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb,26-Mar,26-Apr,26-May,26-Jun,26-Jul
카드_영업비_인건비_보험복지_YOY,103%,111%,109%,154%,185%,169%,140%,71%,104%,118%,101%,94%,97%,104%,63%,348%,61%,70%,78%
카드_영업비_광고선전비_값,118,70,122,54,60,87,78,88,77,62,113,108,51,80%,15,13,14,102,20
카드_영업비_광고선전비_YOY,0%,1011%,248%,140%,87%,109%,100%,136%,156%,87%,125%,93%,43%,114%,13%,26%,23%,117%,26%
카드_영업비_지급수수료_값,53,82,57,90,218,112,90,118,105,121,62,162,150,37%,67,82,60,96,124
카드_영업비_지급수수료_YOY,71%,147%,35%,119%,407%,226%,61%,178%,205%,112%,42%,128%,283%,45%,119%,93%,28%,86%,138%
카드_영업비_식대출장비_값,5,5,24,5,12,1,1,1,1,2,4,7,4,2%,5,16,4,4,3
카드_영업비_식대출장비_YOY,58%,54%,121%,56%,132%,25%,12%,6%,19%,58%,16%,54%,80%,43%,20%,353%,35%,345%,300%
카드_영업비_임차료_값,25,25,25,25,25,25,25,25,25,25,25,24,25,25,24,24,24,24,24
카드_영업비_임차료_YOY,73%,73%,73%,73%,73%,-112%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
카드_영업비_샘플비개발비_값,38,5,3,19,2,5,5,2,10,57,1,4,2,25,1,3,7,1,4
카드_영업비_샘플비개발비_YOY,563%,12%,1022%,1677%,11%,33%,91%,6%,713%,328%,14%,51%,5%,489%,19%,16%,318%,23%,80%
카드_영업비_감가상각비_값,4,4,0,5,4,4,4,4,4,4,4,4,4,6,7,8,7,7,8
카드_영업비_감가상각비_YOY,118%,118%,-7%,145%,100%,101%,100%,97%,97%,96%,91%,91%,100%,157%,100%,100%,100%,100%,200%
카드_영업비_기타비용_값,8,12,97,7,11,25,15,26,-30,12,15,-88,17,12,-48,15,23,136,28
카드_영업비_기타비용_YOY,-217%,112%,-104%,25%,29%,76%,122%,99%,-799%,86%,101%,환입,213%,101%,-50%,223%,213%,550%,187%
카드_할인율_값,39.40%,44.80%,40.40%,36.60%,34.60%,38.10%,48.90%,49.80%,50.20%,52.30%,61.20%,57.10%,52.10%,42.50%,41.60%,43.20%,52.40%,49.20%,54.80%
카드_할인율_YOY,+7.2%p,+2.9%p,+5.1%p,-1.0%p,-4.1%p,-1.6%p,+11.2%p,+3.0%p,+6.3%p,+10.9%p,+19.5%p,+17.6%p,+12.7%p,-3.2%p,+0.1%p,+6.4%p,+17.3%p,+11.0%p,+4.7%p
카드_할인율_채널_US홀세일_값,65.00%,60.50%,58.30%,58.80%,69.10%,77.60%,71.60%,65.00%,58.90%,64.20%,71.20%,74.30%,72.10%,61.20%,59.50%,59.00%,62.20%,69.30%,33.20%
카드_할인율_채널_US홀세일_YOY,+5.8%p,+1.2%p,-2.3%p,-1.8%p,+2.3%p,+7.6%p,+8.3%p,+6.4%p,-0.1%p,+1.6%p,+28.9%p,-11.6%p,+7.0%p,+0.7%p,+1.2%p,+0.2%p,-6.9%p,-8.3%p,-38.3%p
카드_할인율_채널_USEC_값,38.30%,41.70%,36.50%,32.20%,31.80%,35.90%,48.80%,50.10%,49.00%,50.50%,61.10%,56.80%,51.80%,37.90%,39.10%,40.80%,51.90%,48.40%,56.70%
카드_할인율_채널_USEC_YOY,+13.8%p,+3.0%p,+8.5%p,-1.4%p,-6.4%p,-3.4%p,+10.3%p,+5.0%p,+11.0%p,+11.8%p,+18.7%p,+18.7%p,+13.5%p,-3.8%p,+2.6%p,+9.0%p,+20.6%p,+13.0%p,+7.8%p
카드_할인율_채널_EUEC_값,30.70%,45.30%,40.30%,31.70%,32.00%,39.50%,49.40%,44.20%,42.80%,41.70%,63.10%,64.10%,57.40%,65.40%,20.10%,19.20%,45.70%,18.70%,13.60%
카드_할인율_채널_EUEC_YOY,+14.2%p,+22.4%p,+39.7%p,+22.8%p,+13.9%p,+15.8%p,+28.5%p,+16.8%p,+19.8%p,+14.8%p,+41.7%p,+42.4%p,+26.7%p,+20.1%p,-20.2%p,-0.5%p,+11.5%p,-19.1%p,-30.0%p
카드_할인율_아이템_26SS_값,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.80%,2.30%,-4.40%,-0.70%,27.90%,32.60%,45.90%
카드_할인율_아이템_26SS_YOY,0.0%p,0.0%p,0.0%p,0.0%p,0.0%p,0.0%p,0.0%p,0.0%p,0.0%p,0.0%p,0.0%p,0.0%p,-0.9%p,-3.0%p,-11.3%p,-12.8%p,+3.8%p,-0.9%p,+9.8%p
카드_할인율_아이템_25FW_값,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.20%,6.50%,11.60%,11.00%,47.20%,49.30%,44.50%,33.90%,45.90%,48.70%,56.60%,54.10%,60.10%
카드_할인율_아이템_25FW_YOY,-2.5%p,-3.0%p,-16.7%p,-21.9%p,-8.0%p,-10.3%p,+0.1%p,+0.1%p,+0.9%p,-9.4%p,+13.9%p,+10.5%p,+0.5%p,-16.0%p,-6.4%p,-2.6%p,+7.7%p,+4.4%p,-5.5%p
카드_할인율_아이템_25SS_값,4.70%,5.20%,6.90%,16.40%,27.80%,35.90%,37.90%,48.50%,54.70%,59.50%,71.40%,70.90%,58.10%,67.10%,52.80%,62.90%,68.80%,68.90%,75.30%
카드_할인율_아이템_25SS_YOY,-1.6%p,-0.4%p,+1.1%p,-5.8%p,+1.1%p,-1.8%p,-0.7%p,-2.4%p,+0.2%p,-0.4%p,+5.4%p,+5.8%p,-8.9%p,+0.1%p,-15.2%p,+3.3%p,+14.3%p,+15.4%p,+13.0%p
카드_할인율_아이템_FW과시즌_값,44.00%,49.90%,52.30%,52.90%,50.70%,51.30%,66.00%,69.80%,68.20%,70.30%,73.70%,71.30%,66.30%,63.10%,64.90%,68.80%,68.90%,69.70%,
카드_할인율_아이템_FW과시즌_YOY,+0.4%p,+0.4%p,+7.7%p,+1.7%p,-10.1%p,-11.8%p,+4.2%p,+7.5%p,+4.5%p,+5.1%p,+3.3%p,+1.9%p,-1.2%p,-1.4%p,+1.4%p,+2.5%p,+1.0%p,+7.3%p,
카드_할인율_아이템_SS과시즌_값,66.90%,66.90%,68.00%,60.30%,56.00%,54.30%,62.50%,51.60%,49.60%,55.20%,60.50%,73.40%,62.90%,64.20%,69.90%,66.20%,72.60%,70.90%,
